sentence,pred_sentence,sentence_tok,pred_sentence_tok
และเขาก็สัมผัสดีบุก,และเขาก็สัมผัสดีบุ๊ค,และ เขา ก็ สัมผัส ดีบุก,และ เขา ก็ สัมผัส ดี บุ๊ค
คุณสามารถรับทราบเมื่อข้อความนี้ถูกอ่านแล้ว,คุณสามารถรับทราบเมื่อข้อความนี้ถูกอ่านแล้ว,คุณ สามารถ รับทราบ เมื่อ ข้อความ นี้ ถูก อ่าน แล้ว,คุณ สามารถ รับทราบ เมื่อ ข้อความ นี้ ถูก อ่าน แล้ว
คืนนี้ฉันต้องทำให้ได้เธอพูดกับตัวเองฉันต้องทำให้ได้,คืนนี้ฉันต้องทำให้ได้เธอพูดกับตัวเองฉันต้องทำให้ได้,คืนนี้ ฉัน ต้อง ทำ ให้ได้ เธอ พูด กับ ตัวเอง ฉัน ต้อง ทำ ให้ได้,คืนนี้ ฉัน ต้อง ทำ ให้ได้ เธอ พูด กับ ตัวเอง ฉัน ต้อง ทำ ให้ได้
การทำเช่นนี้จะทำให้แผ่นถ่ายภาพเกิดแสงฟลูออเรสเซนต์,การทำเช่นนี้จะทำให้แผ่นถ่ายภาพเกิดแสงตัวริมเส้น,การ ทำ เช่นนี้ จะ ทำให้ แผ่น ถ่ายภาพ เกิด แสง ฟลูออ เร ส เซนต์,การ ทำ เช่นนี้ จะ ทำให้ แผ่น ถ่ายภาพ เกิด แสง ตัว ริม เส้น
ผู้ปกครองของฉันไม่สนใจความเห็นนี้อย่างละเอียดอ่อนโดยไม่ต้องตอบด้วยวาจาใดใด,ผู้ปกครองของฉันไม่สนใจความเห็นนี้อย่างละเอียดอ่อนโดยไม่ต้องตอบด้วยวาจาใดๆ,ผู้ปกครอง ของ ฉัน ไม่ สนใจ ความเห็น นี้ อย่าง ละเอียดอ่อน โดย ไม่ต้อง ตอบ ด้วย วาจา ใด ใด,ผู้ปกครอง ของ ฉัน ไม่ สนใจ ความเห็น นี้ อย่าง ละเอียดอ่อน โดย ไม่ต้อง ตอบ ด้วย วาจา ใดๆ
หวังว่าเธอสบายดี,หวังว่าเธอสบายดี,หวัง ว่า เธอ สบายดี,หวัง ว่า เธอ สบายดี
ฉันเก่งในด้านการฟังอย่างคล่องแคล่ว,ฉันเก่งในด้านการฟังอย่างคล่องแคล่ว,ฉัน เก่ง ใน ด้าน การ ฟัง อย่าง คล่องแคล่ว,ฉัน เก่ง ใน ด้าน การ ฟัง อย่าง คล่องแคล่ว
มันหนักห้ากิโลกรัม,มันหนักห้ากิโลกรัม,มัน หนัก ห้า กิโลกรัม,มัน หนัก ห้า กิโลกรัม
มันไม่น่าจะเกิดขึ้นอีกครั้งกล่าวว่าฉันยิ้ม,มันไม่น่าจะเกิดขึ้นอีกครั้งกล่าวว่าฉันยิ้ม,มัน ไม่ น่าจะ เกิดขึ้น อีกครั้ง กล่าวว่า ฉัน ยิ้ม,มัน ไม่ น่าจะ เกิดขึ้น อีกครั้ง กล่าวว่า ฉัน ยิ้ม
เธอเดินออกจากห้องพิจารณาคดี,เธอเดินออกจากห้องพิจารณาคดี,เธอ เดิน ออกจาก ห้อง พิจารณาคดี,เธอ เดิน ออกจาก ห้อง พิจารณาคดี
พวกเขาพกขวานและเลื่อยเข้าไปในป่า,พวกเขาพกขวานและเลื่อยเข้าไปในป่า,พวกเขา พก ขวาน และ เลื่อย เข้าไป ใน ป่า,พวกเขา พก ขวาน และ เลื่อย เข้าไป ใน ป่า
เขาอยู่บนเครื่องบิน,เขาอยู่บนเครื่องบิน,เขา อยู่ บน เครื่องบิน,เขา อยู่ บน เครื่องบิน
ตรวจสอบว่าไฟล์การกำหนดค่านั้นถูกต้องหรือไม่,ตรวจสอบว่าฝ่ายการกำหนดค่านั้นถูกต้องหรือไม่,ตรวจสอบ ว่า ไฟล์ การ กำหนด ค่า นั้น ถูกต้อง หรือไม่,ตรวจสอบ ว่า ฝ่าย การ กำหนด ค่า นั้น ถูกต้อง หรือไม่
เขารับประทานอาหารจีนด้วยตะเกียบอย่างคล่องแคล่ว,ขอรับประทานอาหารจีนด้วยตะเกียบอย่างคล่องแคล่ว,เขา รับประทาน อาหารจีน ด้วย ตะเกียบ อย่าง คล่องแคล่ว,ขอ รับประทาน อาหารจีน ด้วย ตะเกียบ อย่าง คล่องแคล่ว
อวยพรคุณ,อวยพรคุณ,อวยพร คุณ,อวยพร คุณ
ป้าไปฝึกงานที่กรุงเทพ,ป้าไปฝึกงานที่กรุงเทพ,ป้า ไป ฝึกงาน ที่ กรุงเทพ,ป้า ไป ฝึกงาน ที่ กรุงเทพ
ฉันทนต่อการโกหกไม่ได้,ฉันทนต่อการโกหกไม่ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้
งานของฉันต้องเดินทางบ่อย,งานของฉันต้องเดินทางบ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย
ฉันรู้ฉันรู้,ฉันรู้ฉันรู้,ฉัน รู้ ฉัน รู้,ฉัน รู้ ฉัน รู้
พวกเรามีกระรอกมากเกินไป,พวกเรามีกรอบมากเกินไป,พวกเรา มี กระรอก มากเกินไป,พวกเรา มี กรอบ มากเกินไป
